User_ID,Movie_ID,Category,Title,Country,Timestamp,Release_Year,Rating,Duration,Genre,Language,DubbedLanguages,Year
P1757,s1,Movie,Dick Johnson Is Dead,United States,2021-09-25 16:48:23,2020.0,5.48541777840191,90.0,Documentaries,Russian,"Hindi, Spanish",2021.0
P3523,s2,TV Show,Untitled_2,South Africa,2021-09-24 21:47:10,2018.0,5.48541777840191,2.0,"International TV Shows, TV Dramas, TV Mysteries",German,"Japanese, English",2021.0
P4781,s3,Movie,Ganglands,United States,2021-09-24 03:26:03,2021.0,5.2,1.0,"Crime TV Shows, International TV Shows, TV Action & Adventure",Japanese,"Portuguese, German",2021.0
P681,s4,TV Show,Jailbirds New Orleans,United States,2021-09-24 01:14:25,2021.0,1.29,1.0,"Docuseries, Reality TV",Hindi,"Arabic, English",2021.0
P1292,s5,TV Show,Kota Factory,India,2021-09-24 16:14:13,2021.0,2.73,2.0,"International TV Shows, Romantic TV Shows, TV Comedies",Russian,"Hindi, Arabic",2021.0
P4367,s6,TV Show,Midnight Mass,United States,2021-09-24 22:55:45,2021.0,7.24,1.0,"TV Dramas, TV Horror, TV Mysteries",French,"Russian, English, Japanese",2021.0
P2686,s7,Movie,My Little Pony: A New Generation,United States,2021-09-24 19:22:41,2021.0,2.01,91.0,Children & Family Movies,Russian,"Arabic, Hindi, German",2021.0
P1783,s8,Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",2016-12-01 06:48:05,1993.0,6.65,125.0,"Dramas, Independent Movies, International Movies",Japanese,"Hindi, Mandarin, French",2019.0
P9,s9,TV Show,The Great British Baking Show,United Kingdom,2021-09-24 12:26:35,2021.0,1.02,9.0,"British TV Shows, Reality TV",Hindi,"Mandarin, French",2021.0
P2320,s10,Movie,Untitled_10,United States,2021-09-24 09:48:24,2021.0,5.19,104.0,"Comedies, Dramas",German,"Mandarin, French",2021.0
P238,s12,TV Show,Bangkok Breaking,United States,2021-09-23 22:49:09,2021.0,9.34,1.0,"Crime TV Shows, International TV Shows, TV Action & Adventure",Japanese,"Spanish, Portuguese, German",2021.0
P4503,s13,Movie,Je Suis Karl,"Germany, Czech Republic",2016-12-01 06:48:05,2021.0,5.48541777840191,127.0,"Dramas, International Movies",French,"Spanish, Portuguese, Japanese",2019.0
P304,s14,Movie,Untitled_14,United States,2021-09-22 16:08:04,2021.0,8.56,91.0,"Children & Family Movies, Comedies",Arabic,"Japanese, Russian, German",2021.0
P5559,s16,TV Show,Untitled_16,United States,2021-09-22 08:44:48,2021.0,3.66,4.0,"TV Comedies, TV Dramas",Spanish,"French, Portuguese, Mandarin",2021.0
P1254,s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,United States,2021-09-22 02:28:19,2020.0,8.87,67.0,"Documentaries, International Movies",Japanese,"Mandarin, French",2021.0
P18,s18,TV Show,Falsa identidad,Mexico,2021-09-22 09:36:22,2020.0,6.76,2.0,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Arabic,"Spanish, Hindi, Portuguese",2021.0
P927,s19,Movie,Intrusion,United States,2016-12-01 06:48:05,2018.0,1.94,94.0,Thrillers,Spanish,"French, Portuguese, German",2019.0
P1443,s21,Movie,Monsters Inside: The 24 Faces of Billy Milligan,United States,2021-09-22 15:00:28,2021.0,2.59,1.0,"Crime TV Shows, Docuseries, International TV Shows",English,"Portuguese, German",2021.0
P24,s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,United States,2021-09-21 01:00:45,2021.0,6.63,61.0,Children & Family Movies,English,"Mandarin, Japanese, Portuguese",2021.0
P2750,s25,Movie,Jeans,India,2021-09-21 05:26:31,1998.0,5.48541777840191,166.0,"Comedies, International Movies, Romantic Movies",French,"English, Hindi, German",2021.0
P2836,s26,TV Show,Love on the Spectrum,Australia,2021-09-21 02:23:21,2021.0,3.1,2.0,"Docuseries, International TV Shows, Reality TV",Russian,"German, English",2021.0
P5062,s27,Movie,Minsara Kanavu,United States,2021-09-21 23:23:44,1997.0,4.17,147.0,"Comedies, International Movies, Music & Musicals",German,"Hindi, French",2021.0
P3776,s28,Movie,Grown Ups,United States,2021-09-20 00:48:42,2010.0,2.3,103.0,Comedies,English,"Russian, English, Spanish",2021.0
P861,s29,Movie,Dark Skies,United States,2021-09-19 16:33:53,2013.0,5.48541777840191,97.0,"Horror Movies, Sci-Fi & Fantasy",French,"Portuguese, Russian",2021.0
P4934,s30,Movie,Paranoia,"United States, India, France",2021-09-19 23:38:43,2013.0,8.43,106.0,Thrillers,Hindi,"Russian, Mandarin, German",2021.0
P1279,s32,TV Show,Chicago Party Aunt,United States,2021-09-17 10:59:32,2021.0,4.98,1.0,TV Comedies,Russian,"Hindi, French",2021.0
P5685,s33,TV Show,Sex Education,United Kingdom,2021-09-17 03:56:21,2020.0,5.48541777840191,3.0,"Dramas, International Movies",Hindi,"Russian, Portuguese",2021.0
P34,s34,TV Show,Squid Game,United States,2021-09-17 10:34:40,2021.0,5.05,1.0,"International TV Shows, TV Dramas, TV Thrillers",Portuguese,"French, Hindi, English",2021.0
P5741,s35,TV Show,Tayo and Little Wizards,United States,2021-09-17 12:49:57,2020.0,3.65,1.0,Kids' TV,Russian,"Portuguese, Mandarin, Japanese",2021.0
P1972,s36,Movie,The Father Who Moves Mountains,United States,2021-09-17 21:45:58,2021.0,8.0,110.0,"Dramas, International Movies, Thrillers",Spanish,"Arabic, English, French",2021.0
P861,s37,Movie,The Stronghold,United States,2021-09-17 16:09:27,2021.0,1.87,105.0,"Action & Adventure, Dramas, International Movies",German,"Russian, Hindi, Arabic",2021.0
P38,s38,TV Show,Angry Birds,Finland,2021-09-16 19:23:20,2018.0,5.06,1.0,"Kids' TV, TV Comedies",Portuguese,"Mandarin, French",2021.0
P5821,s39,Movie,Birth of the Dragon,"China, Canada, United States",2016-12-01 06:48:05,2017.0,5.48541777840191,96.0,"Dramas, International Movies",English,"Russian, French, Japanese",2019.0
P3914,s40,TV Show,Chhota Bheem,India,2021-09-16 12:06:50,2021.0,5.48541777840191,3.0,Kids' TV,Portuguese,"Spanish, Japanese",2021.0
P5088,s41,TV Show,Untitled_41,United States,2021-09-16 16:13:35,2018.0,1.81,1.0,"Dramas, International Movies",Hindi,"Arabic, Spanish, Russian",2021.0
P2012,s42,Movie,Jaws,United States,2016-12-01 06:48:05,1975.0,2.03,124.0,"Action & Adventure, Classic Movies, Dramas",English,"Mandarin, French",2019.0
P2077,s43,Movie,Jaws 2,United States,2021-09-16 01:42:42,1978.0,9.89,116.0,"Dramas, Horror Movies, Thrillers",German,"Arabic, Portuguese",2021.0
P547,s45,Movie,Jaws: The Revenge,United States,2021-09-16 17:50:18,1987.0,7.69,91.0,"Action & Adventure, Horror Movies, Thrillers",Japanese,"Hindi, Russian, Spanish",2021.0
P2863,s46,Movie,My Heroes Were Cowboys,United States,2021-09-16 05:54:50,2021.0,8.05,23.0,Documentaries,French,"Arabic, Russian",2021.0
P1977,s47,Movie,Safe House,"South Africa, United States, Japan",2021-09-16 01:43:57,2012.0,3.83,115.0,Action & Adventure,English,"Russian, Portuguese",2021.0
P2687,s48,TV Show,The Smart Money Woman,United States,2021-09-16 22:31:52,2020.0,2.93,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",German,"Russian, Portuguese, Mandarin",2021.0
