,User_ID,Movie_ID,Category,Title,Country,Timestamp,Release_Year,Rating,Duration,Genre,Language,DubbedLanguages,Year,preference
0,599,0,0,1442,528,2021-09-25 16:48:23,2020.0,5.48541777840191,90.0,209,7,390,2021.0,0
1,1961,905,1,6119,376,2021-09-24 21:47:10,2018.0,5.48541777840191,2.0,339,3,408,2021.0,0
2,2907,1851,0,1952,528,2021-09-24 03:26:03,2021.0,5.2,1.0,182,5,586,2021.0,0
3,3962,2805,1,2578,528,2021-09-24 01:14:25,2021.0,1.29,1.0,230,4,0,2021.0,0
4,232,3767,1,2824,221,2021-09-24 16:14:13,2021.0,2.73,2.0,318,7,320,2021.0,0
5,2581,4657,1,3328,528,2021-09-24 22:55:45,2021.0,7.24,1.0,415,2,653,2021.0,1
6,1323,5503,0,3540,528,2021-09-24 19:22:41,2021.0,2.01,91.0,97,7,30,2021.0,0
8,4271,6994,1,5219,447,2021-09-24 12:26:35,2021.0,1.02,9.0,91,4,497,2021.0,0
9,1032,1,0,6011,528,2021-09-24 09:48:24,2021.0,5.19,104.0,138,3,497,2021.0,0
10,1075,183,1,602,528,2021-09-23 22:49:09,2021.0,9.34,1.0,182,5,787,2021.0,1
11,2689,275,0,2592,191,2016-12-01 06:48:05,2021.0,5.48541777840191,127.0,255,2,789,2019.0,0
12,1595,367,0,6051,528,2021-09-22 16:08:04,2021.0,8.56,91.0,98,0,465,2021.0,1
13,3518,553,1,6080,528,2021-09-22 08:44:48,2021.0,3.66,4.0,405,8,218,2021.0,0
14,202,642,0,1669,528,2021-09-22 02:28:19,2020.0,8.87,67.0,214,5,497,2021.0,1
15,634,730,1,1726,303,2021-09-22 09:36:22,2020.0,6.76,2.0,192,0,763,2021.0,0
16,4294,817,0,2523,528,2016-12-01 06:48:05,2018.0,1.94,94.0,429,8,215,2019.0,0
17,349,997,0,3436,528,2021-09-22 15:00:28,2021.0,2.59,1.0,175,1,586,2021.0,0
18,1094,1286,0,2026,528,2021-09-21 01:00:45,2021.0,6.63,61.0,97,1,530,2021.0,0
20,1439,1465,1,3084,14,2021-09-21 02:23:21,2021.0,3.1,2.0,226,7,248,2021.0,0
22,2153,1651,0,2104,528,2021-09-20 00:48:42,2010.0,2.3,103.0,134,1,656,2021.0,0
23,4228,1748,0,1332,528,2021-09-19 16:33:53,2013.0,5.48541777840191,97.0,284,2,621,2021.0,0
24,3033,1852,0,3912,584,2021-09-19 23:38:43,2013.0,8.43,106.0,429,4,697,2021.0,1
